id,ctime,time,title,content,shareurl,category,author,level,is_red,image_count,image_urls,local_images
2400323,1781522639,2026-06-15 19:23:59,盛达资源：实际控制人赵满堂被证监会立案调查,【盛达资源：实际控制人赵满堂被证监会立案调查】财联社6月15日电，盛达资源(000603.SZ)公告称，公司实际控制人赵满堂于2026年6月15日收到证监会下发的《立案告知书》，因涉嫌信息披露违法违规，证监会决定对其立案。赵满堂将积极配合调查并履行信息披露义务。,https://api3.cls.cn/share/article/2400323?os=web&sv=&app=CailianpressWeb,,,B,,0,,
2400321,1781522631,2026-06-15 19:23:51,盛达资源：因涉嫌信息披露违法违规 收到证监会立案告知书,【盛达资源：因涉嫌信息披露违法违规 收到证监会立案告知书】财联社6月15日电，盛达资源(000603.SZ)公告称，公司收到证监会下发的《立案告知书》，因涉嫌信息披露违法违规，证监会决定对公司立案。公司就上述立案调查事项的自查情况说明如下：2025年4月29日，公司披露了《关于公司自查发现控股股东及其附属企业资金占用并已解决等情况的公告》，对公司控股股东及其附属企业非经营性资金占用情况进行了披露。截至本公告披露日，公司已收回全部被占用资金及占用利息。公司已积极对相关问题进行整改，公司将依法履行相关信息披露义务。目前，公司生产经营活动正常开展，该事项不会对公司生产经营产生重大影响。,https://api3.cls.cn/share/article/2400321?os=web&sv=&app=CailianpressWeb,,,B,,0,,
2400297,1781521538,2026-06-15 19:05:38,3天2板炬光科技：光通信相关业务收入占公司整体营业收入的比例较低（2025年占比约8%）,【3天2板炬光科技：光通信相关业务收入占公司整体营业收入的比例较低（2025年占比约8%）】《科创板日报》15日讯，炬光科技(688167.SH)公告称，公司股票于2026年6月11日、12日、15日连续3个交易日内日收盘价格涨幅偏离值累计超过30%，属于股票交易异常波动。近期市场对光通信/算力数据中心产业链关注度较高，公司部分产品可应用于下游光模块领域，但根据公司已披露经营数据，光通信相关业务收入占公司整体营业收入的比例较低（2025年占比约8%），尚未构成核心业绩支柱；同时下游光模块客户整机交付需同时配套高速有源光芯片等关键元器件，当前上游有源芯片供给偏紧可能对部分客户提货节奏产生影响，相关业务收入放量及业绩贡献存在不确定性。公司股价短期波动幅度较大，提醒投资者关注光通信行业技术迭代、市场竞争加剧、供需格局变化等风险，理性看待股价波动，注意投资风险。,https://api3.cls.cn/share/article/2400297?os=web&sv=&app=CailianpressWeb,,,B,,0,,
2400267,1781519619,2026-06-15 18:33:39,亿纬锂能：预计上半年净利同比增长95%-110%,【亿纬锂能：预计上半年净利同比增长95%-110%】财联社6月15日电，亿纬锂能(300014.SZ)公告称，预计2026年半年度归属于上市公司股东的净利润为31.30亿元-33.71亿元，同比增长95%-110%。业绩变动主要系公司坚持产品迭代与服务升级，把握市场增长机遇，营业收入同比增长约60%，并通过供应链多元化布局和战略性采购有效缓冲成本上涨压力。小财注：亿纬锂能Q1净利14.46亿元，据此计算，Q2净利预计16.84亿元-19.25亿元，环比增长16.46%-33.13%。,https://api3.cls.cn/share/article/2400267?os=web&sv=&app=CailianpressWeb,,,B,,1,https://image.cls.cn/images/20260615/1cJ3NQ39sy_1320x903.jpg,C:/Users/wtzhang12/Documents/Codex/2026-06-03/pinarocko346-creator-yc-buy-git-https/skills-engineering-workspace/examples/market/cls-telegraph-red/raw/2026-06-15/images/2400267/image-01.jpg
2400261,1781519326,2026-06-15 18:28:46,录音显示美军仍在执行对伊朗海上封锁,【录音显示美军仍在执行对伊朗海上封锁】财联社6月15日电，霍尔木兹海峡附近水域商船上的一名海员向新华社记者独家提供的船舶无线电公共频道录音显示，美军15日对海峡附近船只喊话说，美国对伊朗港口和沿海地区的封锁仍然有效，并警告船只不要试图突破封锁。这名海员说，当天还听到美军在无线电公共频道勒令船只返回伊朗港口。 （新华社）,https://api3.cls.cn/share/article/2400261?os=web&sv=&app=CailianpressWeb,,新华社,B,,0,,
2400221,1781517916,2026-06-15 18:05:16,伊媒称伊美协议明确霍尔木兹海峡管理权,【伊媒称伊美协议明确霍尔木兹海峡管理权】财联社6月15日电，伊朗法尔斯通讯社15日援引一名知情人士的话报道称，伊美谅解备忘录在达成前最后阶段进行了修改，“明确且无歧义地”强调了伊朗与阿曼对霍尔木兹海峡行使管理权。报道称，备忘录最新文本明确规定，“霍尔木兹海峡海上航运服务的未来管理”将由伊朗和阿曼共同决定。文本中特别使用“海上航运服务”这一表述，意味着美国事实上承认伊朗有权就相关服务向过往船只收取费用。报道称，根据文本内容，伊朗仅同意给予船舶60天的免费通行期。在60天期限结束后，伊朗计划通过提供航行安全、航海保障以及环境保护和保险等服务，从经过霍尔木兹海峡的商业船舶通行中获取相关收益，并将其用于国家经济发展。在这一问题上，伊朗此前已与阿曼进行了必要的协调和磋商。报道没有就60天的免费通行期进行具体解释。 （新华社）,https://api3.cls.cn/share/article/2400221?os=web&sv=&app=CailianpressWeb,,新华社,B,,0,,
2400207,1781517329,2026-06-15 17:55:29,特朗普称将允许伊朗进行低水平铀浓缩,【特朗普称将允许伊朗进行低水平铀浓缩】财联社6月15日电，美国总统特朗普14日对《纽约时报》说，伊朗将被允许进行有限的低水平铀浓缩活动，并称美伊新协议将确保“伊朗的铀浓缩永远只能用于非军事目的”。伊朗媒体说，此次表态意味着特朗普在伊朗“铀浓缩归零”要求上让步。特朗普称，如果伊朗未能与美国达成最终的核协议，他将重启对伊朗的军事打击，“或者让美国成为‘中东的守护者’，以换取该地区20%的收入”。特朗普还说，美伊仍在就伊朗是否暂停铀浓缩20年进行谈判，并暗示他可能会接受15年的暂停期，但不想通过媒体进行谈判。 （新华社）,https://api3.cls.cn/share/article/2400207?os=web&sv=&app=CailianpressWeb,,新华社,B,,0,,
2400199,1781516769,2026-06-15 17:46:09,中船特气：网传与台积电签长期供货协议等均不属实 截至目前与相关客户就后续供货方案仍在商谈过程中,【中船特气：网传与台积电签长期供货协议等均不属实 截至目前与相关客户就后续供货方案仍在商谈过程中】《科创板日报》15日讯，有投资者问，最近网络在传中船特气与台积电签订了为期3年的长期供货协议（协议价格折合人民币约1300元/公斤），并且其在台积电的六氟化钨供货份额已从之前的10%大幅提升至70%。这消息属实吗？中船特气在互动平台表示，关于网络流传的公司与相关企业签订3年长期供货协议、产品价格及供货份额等信息，公司已关注到。经核实，上述信息内容均不属实。截至目前，公司与相关客户就后续供货方案仍在商谈过程中。此外，公司六氟化钨产品定价综合考量下游产业发展趋势、竞争格局、供需关系、国家政策等多重因素，上述消息所涉及的价格信息与公司对当前产品市场价值的判断不符。公司所有重大信息均以在上交所网站及指定媒体披露的公告为准，请勿轻信网络不实言论。,https://api3.cls.cn/share/article/2400199?os=web&sv=&app=CailianpressWeb,,,B,,2,https://image.cls.cn/images/20260615/2B5G8R29v9_1092x697.png|https://image.cls.cn/images/20260615/g09REScClc_2518x1024.png,C:/Users/wtzhang12/Documents/Codex/2026-06-03/pinarocko346-creator-yc-buy-git-https/skills-engineering-workspace/examples/market/cls-telegraph-red/raw/2026-06-15/images/2400199/image-01.png|C:/Users/wtzhang12/Documents/Codex/2026-06-03/pinarocko346-creator-yc-buy-git-https/skills-engineering-workspace/examples/market/cls-telegraph-red/raw/2026-06-15/images/2400199/image-02.png
2400198,1781516713,2026-06-15 17:45:13,摩根资产管理：AI领域仍具备确定性成长机会 算力硬件景气度和业绩增速有望领先全市场,【摩根资产管理：AI领域仍具备确定性成长机会 算力硬件景气度和业绩增速有望领先全市场】财联社6月15日电，摩根资产管理（中国）举办“2026中期权益投资机构交流会”，公司副总经理兼投资总监杜猛在会上表示，今年随着PPI提前转正、CPI逐步上行，上市公司盈利开始修复，A股整体利润增速有望达双位数，中国权益资产对全球投资者的吸引力显著提升，横向估值修复空间较大。行业机会方面，杜猛指出，AI领域仍可持续发掘具备确定性的成长机会，算力硬件景气度和业绩增速有望领先全市场，重点聚焦光模块、PCB、液冷和算力租赁等环节。以锂电为核心的新能源产业正处于关键转折期，过去几年的产能过剩已基本出清，光伏、风电、电动车的战略地位大幅提升。,https://api3.cls.cn/share/article/2400198?os=web&sv=&app=CailianpressWeb,,,B,,0,,
2400179,1781515928,2026-06-15 17:32:08,国晟科技：因信息披露不及时收到北京证监局警示函,【国晟科技：因信息披露不及时收到北京证监局警示函】财联社6月15日电，国晟科技(603778.SH)公告称，公司及相关人员收到北京证监局出具的警示函。经查，公司与江苏大航电气贸易有限公司存在买卖合同纠纷，涉案金额5184.62万元，占最近一期经审计净资产比重超10%，但公司未在2026年4月24日披露的累计诉讼公告中包含该笔诉讼，迟至5月22日才补充披露，信息披露不完整且不及时。公司董事长吴君、总经理高飞、董事会秘书张昆对违规行为负有主要责任。北京证监局决定对公司及相关人员采取出具警示函的行政监管措施，并记入证券期货市场诚信档案。,https://api3.cls.cn/share/article/2400179?os=web&sv=&app=CailianpressWeb,,,B,,0,,
