symbol,name,item_type,horizon,status,thesis,key_levels,trigger,invalidation,next_check,notes
COMMERCIAL_SPACE_REUSABLE_ROCKET,商业航天可回收火箭,theme,long+mid,watching,事件驱动鱼塘：可回收火箭首飞/复飞/回收验证/星座发射招标带动产业链映射,蓝箭朱雀三号/天兵天龙三号/星际荣耀双曲线三号/长征十号乙/海南商业航天发射场,发射窗口公布或回收试验成功且A股核心票放量共振,发射失败后产业链无承接或板块连续缩量退潮,2026-06-24,总主题池
ROCKET_PRIVATE_COMPANIES,民营可回收火箭公司,theme,long+mid,watching,蓝箭航天/天兵科技/星际荣耀/深蓝航天/星河动力等非上市主体是事件源,型号进度/静态点火/首飞/复飞/回收船/发射场工位,官方发布重大节点或媒体确认发射窗口,事件推迟且二级市场无资金响应,2026-06-24,非上市核心事件源
600118.XSHG,中国卫星,stock,long+mid,watching,航天科技集团卫星制造与空间基础设施中军；可承接卫星互联网/发射需求预期,年线/半年线/平台高点,卫星互联网或国家队发射任务带动放量突破,跌破中期平台且航天军工退潮,2026-06-24,国家队中军
000901.XSHE,航天科技,stock,mid,watching,航天系上市平台，偏航天电子/装备映射，题材弹性较强,前高/5日线/10日线,商业航天事件催化下放量突破,冲高回落且跌破10日线,2026-06-24,航天系弹性
600879.XSHG,航天电子,stock,long+mid,watching,航天电子配套中军，受益火箭/卫星任务密度提升,平台高点/20日线,航天系放量共振或订单预期强化,板块退潮且跌破平台,2026-06-24,航天电子配套
600343.XSHG,航天动力,stock,mid+short,watching,航天动力/泵阀/动力系统题材映射，和火箭动力链相关性需事件验证,前高/5日线/量能平台,可回收火箭或发动机试车消息带动放量,无事件支撑且高位放量滞涨,2026-06-24,动力系统映射
688523.XSHG,航天环宇,stock,mid,watching,航天结构件/复材零部件方向，可能受益商业航天制造放量,平台高点/20日线,商业航天结构件链条被资金认可并放量突破,跌破平台且成交萎缩,2026-06-24,结构件
688102.XSHG,斯瑞新材,stock,mid,watching,高端铜合金/航天材料映射，市场常挖火箭发动机材料链，需核实订单与客户,前高/10日线/20日线,发动机材料或商业航天链放量共振,关系证据弱且股价不承接,2026-06-24,发动机材料映射
301005.XSHE,超捷股份,stock,mid+short,watching,商业航天结构件/紧固件弹性标的，偏事件驱动,前高/5日线/10日线,火箭发射/回收事件前资金提前放量,事件兑现后放量回落或跌破10日线,2026-06-24,结构件弹性
605123.XSHG,派克新材,stock,long+mid,watching,高端环锻件/航空航天材料，中军属性强于题材弹性,年线/平台低点/20日线,高端装备和商业航天链放量共振,跌破中期平台且无订单催化,2026-06-24,锻件材料
688122.XSHG,西部超导,stock,long+mid,watching,钛合金/高温合金等航空航天材料中军，可作为材料端容量观察,年线/20日线/平台高点,航天材料池进入活跃池并放量修复,材料线退潮且跌破平台,2026-06-24,材料中军
300777.XSHE,中简科技,stock,long+mid,watching,碳纤维材料，火箭结构减重与航天复材映射，但需看材料池强度,平台高点/20日线,复材/商业航天同涨且放量突破,复材线退潮或跌破平台,2026-06-24,复材
300699.XSHE,光威复材,stock,long+mid,watching,碳纤维复材中军，适合材料端长期观察,平台高点/20日线,复材鱼塘转强并放量突破,板块退潮且跌破平台,2026-06-24,复材中军
300034.XSHE,钢研高纳,stock,long+mid,watching,高温合金材料，火箭发动机/航空航天材料映射,年线/平台高点,高温合金与航天材料同步走强,跌破中期平台且无承接,2026-06-24,高温合金
